# 100000 most frequently used 1-grams in American English books, 2005--2009. Data condensed from Google Ngrams Version 2, Copyright 2012, at <http://storage.googleapis.com/books/ngrams/books/datasetsv2.html>.
winter	3644345
sought	3637451
train	3635574
Mexico	3634801
hospital	3633267
leader	3629858
sky	3627303
Johnson	3627212
39	3621606
gas	3618861
cast	3618606
walking	3616100
divine	3613432
fields	3611421
kitchen	3610671
danger	3608659
ahead	3606596
shook	3605612
becoming	3605259
Fig	3601687
properties	3598917
slow	3598499
famous	3596465
shared	3595695
crime	3594808
spot	3592807
Be	3589615
tears	3589159
slightly	3587398
represent	3586525
resistance	3585698
connected	3585054
existing	3583770
scientific	3579961
generation	3579535
economy	3576719
reaction	3576628
global	3573847
la_X	3566762
huge	3562381
user	3562291
allows	3562116
orders	3557689
iron	3557010
sales	3555819
42	3553505
clothes	3553447
mere	3553172
legs	3548467
Captain	3547404
song	3545644
worse	3544784
acts	3542711
watching	3542271
turning	3541699
TO	3535813
signs	3534680
false	3534474
promise	3532384
season	3530534
tone	3529997
records	3528877
principal	3527366
joy	3523567
G	3523399
protect	3520783
troops	3520502
Book	3519912
ii	3518483
dollars	3517615
referred	3516212
draw	3515408
High	3514943
Oxford	3513248
Indians	3512220
employed	3509617
keeping	3506082
prayer	3505597
nice	3503465
broad	3503310
numerous	3501825
ordinary	3500767
west	3499726
laughed	3499265
describe	3494028
station	3493153
pure	3485850
cancer	3480802
La	3478925
Three	3478398
agent	3477282
Brown	3475162
regarding	3473561
article	3472617
quick	3469880
fingers	3466820
plants	3465008
citizens	3464903
Rome	3464898
characteristics	3463139
machine	3462480
Park	3459824
Mark	3457818
assessment	3457545
41	3452722
44	3450794
confidence	3448291
camp	3447891
Virginia	3446231
external	3443930
units	3442698
1988	3440962
